stock_name,sector,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10
ITC,FMCG,1364.42,1420.81,1457.45,1473.55,1454.18,1515.33,1490.7,1454.49,1424.45,1432.76
Nestle India,FMCG,909.77,895.43,880.87,924.82,945.71,937.33,906.37,892.27,882.58,903.53
Britannia,FMCG,737.92,741.99,753.45,752.09,774.52,788.75,781.71,807.75,811.51,786.43
Hindustan Unilever,FMCG,356.9,361.19,365.84,352.67,338.04,322.34,318.25,314.27,302.41,292.46
Titan,Luxury,2624.83,2752.48,2714.83,2584.46,2666.28,2727.03,2753.39,2730.27,2728.24,2804.07
Zomato,Technology,266.14,269.33,262.23,269.78,278.16,282.79,271.13,268.29,268.09,260.57
Paytm,Fintech,1875.87,1884.44,1847.89,1865.75,1844.27,1935.02,1877.91,1830.61,1837.56,1837.42
IRCTC,Railways,382.8,364.34,375.33,359.44,370.76,354.52,361.89,358.61,371.5,370.5
Coal India,Mining,2351.78,2399.53,2322.99,2398.18,2429.92,2332.74,2301.25,2397.41,2503.8,2606.39
Tata Steel,Steel,1832.67,1912.51,1964.94,1992.53,2032.84,2111.11,2036.13,2071.35,2130.74,2232.19
JSW Steel,Steel,2496.85,2517.83,2596.16,2721.01,2705.02,2683.61,2764.73,2773.56,2897.27,2905.01
Sun Pharma,Pharma,527.73,503.7,481.94,484.78,500.94,513.43,528.33,550.1,536.43,540.46
Dr Reddy's,Pharma,633.55,606.0,612.08,589.1,580.39,592.5,611.04,637.21,611.52,620.96
Cipla,Pharma,1986.07,1929.79,1919.21,1872.97,1816.6,1870.91,1954.28,1952.44,1926.53,1950.44
Apollo Hospitals,Healthcare,662.45,672.53,652.07,674.39,706.44,673.05,639.52,613.01,584.58,594.11
Larsen & Toubro,Infrastructure,1368.19,1377.33,1446.17,1395.39,1456.22,1448.75,1515.76,1536.43,1552.43,1552.6
Power Grid,Energy,2099.69,2121.75,2190.6,2163.25,2264.39,2225.86,2238.51,2140.16,2236.32,2307.89
NTPC,Energy,730.56,716.53,734.33,762.3,771.89,790.27,823.55,841.31,812.66,776.62
BHEL,Energy,3354.85,3401.78,3499.15,3325.19,3271.18,3132.11,3234.26,3390.55,3288.11,3287.09
Pidilite,Chemicals,3310.17,3250.64,3143.89,3288.24,3316.08,3198.77,3078.33,3189.04,3318.93,3214.42
DLF,Real Estate,592.82,601.73,619.68,605.12,585.63,606.14,630.8,657.72,644.77,655.58
Godrej Properties,Real Estate,2657.35,2589.91,2494.38,2427.23,2330.07,2385.75,2408.1,2341.51,2251.13,2215.09
