stock_name,sector,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10
ACC,Cement,3632.52,3694.46,3518.4,3241.49,3166.74,3147.17,2963.81,2814.13,2873.08,3098.93
Ambuja Cements,Cement,921.08,875.75,927.25,970.26,1027.24,1020.98,1048.67,986.14,911.78,909.68
Asian Paints,Consumer,461.06,491.64,519.19,530.17,507.03,489.58,469.58,445.91,417.46,437.57
ITC,FMCG,1246.54,1199.87,1108.69,1196.6,1233.0,1137.52,1076.28,1151.03,1115.18,1161.58
Nestle India,FMCG,1562.98,1441.81,1493.75,1508.71,1587.46,1511.8,1440.16,1361.52,1389.4,1397.68
Britannia,FMCG,2033.64,2071.16,2062.51,1908.11,2007.31,1972.43,1955.95,1989.98,1907.91,1809.74
Hindustan Unilever,FMCG,3538.08,3540.0,3501.43,3436.23,3568.1,3332.51,3175.87,3071.26,2895.32,2891.2
Titan,Luxury,2761.12,2913.41,2780.52,2613.75,2744.4,2591.77,2458.01,2460.68,2342.03,2168.11
Zomato,Technology,2198.24,2046.47,2012.01,1909.84,1922.43,2021.27,1978.26,1892.79,1759.6,1835.01
Paytm,Fintech,2773.33,2603.39,2400.38,2360.36,2490.9,2459.86,2513.55,2490.17,2538.08,2539.47
IRCTC,Railways,1035.45,1010.49,1076.79,1099.23,1046.04,1021.43,1076.44,1078.9,1133.21,1209.71
Coal India,Mining,1208.08,1163.66,1172.56,1214.92,1300.93,1336.6,1250.83,1173.91,1192.18,1245.85
Tata Steel,Steel,2749.18,2870.65,3059.58,3142.35,3026.17,3219.21,3049.69,3186.23,3218.58,3294.37
JSW Steel,Steel,714.65,764.18,730.58,685.25,637.05,621.38,572.12,546.31,562.65,603.65
Sun Pharma,Pharma,2279.35,2114.51,2073.34,1950.22,1931.36,1903.65,1816.09,1731.89,1819.74,1853.09
Dr Reddy's,Pharma,3412.84,3482.32,3534.84,3381.5,3308.99,3360.15,3247.34,3104.04,2975.12,3073.67
Cipla,Pharma,3826.75,4087.77,3788.92,3909.81,3755.43,3895.02,3588.71,3537.87,3478.53,3256.74
Apollo Hospitals,Healthcare,864.06,895.02,867.16,915.13,916.18,845.89,845.46,868.28,867.97,846.69
Larsen & Toubro,Infrastructure,868.14,907.56,918.47,974.1,1014.23,1010.23,991.13,1040.84,982.23,1042.28
Power Grid,Energy,3088.65,2842.38,2615.45,2763.45,2756.87,2933.12,3025.61,2812.78,2797.44,2780.46
NTPC,Energy,3850.38,3738.83,3991.11,3776.37,3782.44,3779.6,3500.3,3225.4,3221.86,3326.51
BHEL,Energy,3693.91,3599.81,3380.0,3253.53,3490.9,3735.4,3814.03,3655.65,3682.02,3414.8
Pidilite,Chemicals,3604.54,3428.64,3235.46,3210.25,3402.22,3210.8,3040.62,3052.94,2835.5,2742.04
DLF,Real Estate,492.45,470.15,469.22,488.93,466.38,434.28,405.19,406.79,430.37,458.44
Godrej Properties,Real Estate,372.75,360.32,359.91,361.65,359.54,384.69,371.77,346.76,363.4,366.18
